Wall time,Step,Value
1532619958.40654,677,0.017704425379633904
1532620023.047471,1328,0.009960971772670746
1532620087.298108,2007,0.009228029288351536
1532620151.907522,2635,0.009747713804244995
1532620216.451707,3254,0.009099245071411133
1532620281.252996,3853,0.008934207260608673
1532620346.022124,4504,0.00899695884436369
1532620411.144646,5181,0.009087336249649525
1532620476.25458,5756,0.009437772445380688
1532620540.912443,6330,0.009095410816371441
1532620605.163731,6934,0.008378603495657444
1532620670.022761,7611,0.009040892124176025
1532620734.384982,8220,0.00876905582845211
1532620799.404466,8845,0.009075473062694073
1532620863.996615,9443,0.008495605550706387
1532620928.49137,10054,0.009227513335645199
1532620992.851429,10731,0.008968069218099117
1532621057.097464,11405,0.008953624404966831
1532621122.13783,12056,0.00910437386482954
1532621186.720109,12681,0.00877788569778204
1532621250.971105,13346,0.009508737362921238
1532621315.339752,14025,0.008320596069097519
1532621379.66889,14672,0.008639673702418804
1532621444.059647,15328,0.009208575822412968
1532621508.853389,15953,0.008851096965372562
1532621573.570151,16539,0.008907557465136051
1532621638.100322,17164,0.009733731858432293
1532621702.482264,17784,0.008901909925043583
1532621766.963831,18340,0.009069401770830154
1532621831.532815,18991,0.008646651171147823
1532621896.205656,19668,0.008305043913424015
1532621960.842861,20319,0.009072867222130299
1532622025.136136,20947,0.008744931779801846
