Wall time,Step,Value
1532617990.402241,832,0.772881031036377
1532618056.833604,1664,0.791313648223877
1532618123.552807,2496,0.7725210189819336
1532618190.902274,3328,0.7808828353881836
1532618258.777286,4160,0.7733098864555359
1532618327.245419,4992,0.7680931091308594
1532618395.894108,5824,0.7653362154960632
1532618465.039139,6656,0.7757396697998047
1532618534.459406,7488,0.7671375274658203
1532618604.015583,8320,0.7654218673706055
1532618674.946202,9152,0.7828927040100098
1532618745.56327,9984,0.7712416052818298
1532618815.904249,10816,0.7914884090423584
1532618886.560995,11648,0.7942075729370117
1532618958.759907,12480,0.7858483195304871
1532619032.952632,13312,0.7790789604187012
1532619105.278417,14144,0.776512622833252
1532619176.693873,14976,0.7718321681022644
1532619248.670966,15808,0.7928765416145325
1532619321.396627,16640,0.7908300757408142
1532619445.187715,17472,0.7747201919555664
1532619510.361803,18304,0.7792937755584717
1532619576.92698,19136,0.782870352268219
1532619644.056172,19968,0.7825742363929749
1532619712.368335,20800,0.7882409691810608
